ID NO,Name,Title,Date,Venue,Region,Oppose/Support,Party Affiliation,IDNO,Name,Month,Day ,Year,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
930,Fleming,Representative,29-Mar-11,House,Libya,0,R,930,Fleming,3,29,11,122,12.2,36.07,73.77,44.26,13.11,9.02,2.46,3.28,0,3.28,0,4.1,6.56,8.2,4.92,0,5.74,0.82,2.46,6.56,8.2,2.46,0,1.64,0,15.57,0,0,4.1,3.28,1.64,1.64,0.82,0,0,16.39,2.46,1.64,1.64,1.64,2.46,0.82,4.1,4.1,3.28,0,3.28,0,0,0,0,0,0,16.39,5.74,1.64,8.2,6.56,7.38,0,0,0.82,0,0,0,0,0,8.2,5.74,0,0,0,0,0,0,5.74,0,0,19.67
1034,Forbes,Representative,3-Jun-11,House,Libya,0,R,1034,Forbes,6,3,11,258,25.8,24.42,79.84,51.16,15.5,9.3,3.49,2.71,0.39,2.71,0,6.2,6.2,15.5,6.59,1.55,10.85,1.16,3.88,11.63,7.75,2.33,1.55,1.16,0,7.75,0,0,0.78,3.88,1.94,1.94,0,1.55,0,20.16,5.81,3.49,3.49,2.71,1.94,0.39,3.88,3.1,2.71,0,2.33,0.39,0,0,0,0,0,11.24,2.71,4.26,3.88,2.33,1.55,0,0,0.39,0,0.78,0,0,0,3.88,8.53,0,0.39,0,0,0,0,4.26,0,0,17.05
1014,Fortenberry,Representative,3-Jun-11,House,Libya,0,R,1014,Fortenberry,6,3,11,327,17.21,35.47,66.67,43.12,8.26,4.59,0.92,2.14,0,0.92,0.61,3.67,7.03,10.4,5.81,1.83,5.5,0.92,4.28,11.01,5.5,1.53,1.83,0.61,0,8.56,0,0,1.22,2.75,1.53,0.92,0,0.31,0,14.37,2.75,1.83,1.53,1.53,0.92,0.61,4.28,2.75,0.92,0,0.92,0,1.22,0.61,0.61,0,0,11.62,2.75,4.89,4.28,2.45,4.28,0.31,0,0,0,0.61,0,0,0,7.95,7.95,0.31,0.31,0,0,0.31,0,1.22,0.31,0,18.65
1012,Frank,Representative,3-Jun-11,House,Libya,0,D,1012,Frank,6,3,11,372,16.91,22.85,79.3,57.8,16.13,10.75,1.88,5.38,0.27,1.34,1.88,5.38,8.33,16.4,10.22,2.15,9.95,1.08,3.76,13.98,4.3,2.42,1.61,1.08,0,13.44,0,0.54,0.27,3.23,1.34,1.88,0,1.34,0,11.83,0.81,1.08,1.08,0.81,1.08,0.81,4.3,3.49,2.15,0.54,1.61,0,0.81,0.54,0.27,0,0,11.56,2.69,5.91,2.96,1.08,1.61,0,0,1.88,0.27,0.27,0.54,0.27,0.27,5.11,6.99,0,0,0.81,0,0,0,5.11,0,0.54,18.55
1060,Frank,Representative,24-Jun-11,House,Libya,0,D,1060,Frank,6,24,11,219,13.69,22.83,79.91,53.42,17.81,10.5,3.65,3.65,0,0.46,2.74,7.31,5.48,15.53,9.13,1.37,13.7,0,0,12.79,6.85,2.28,0.91,0.91,0,15.07,0,0.46,2.28,5.02,2.28,2.74,0,0,0.46,15.98,1.83,1.37,2.74,1.37,1.37,0.91,6.39,3.2,3.2,0.91,2.28,0,0.91,0,0.91,0,0,8.22,2.74,4.11,1.37,0,1.83,0.46,0.46,1.37,0,0,0.91,0,0,6.85,8.68,0,0.91,0.91,0,0.46,0,6.39,0,0,24.2
817,Garamendi,Representative,24-Jun-11,House,Libya,1,D,817,Garamendi,6,24,11,135,16.88,25.19,77.78,49.63,12.59,5.19,2.96,2.22,0,0,0,7.41,9.63,14.81,8.89,0,7.41,3.7,2.22,12.59,3.7,0,0,0,0,4.44,0,0,0,2.22,1.48,0.74,0,0.74,0,22.22,3.7,0.74,3.7,2.96,1.48,4.44,5.93,1.48,0.74,0.74,0,0,0,0,0,0,0,14.81,2.96,7.41,4.44,0.74,2.22,0.74,1.48,0,0,0.74,0,0,0,7.41,2.96,0,0,0,0,0,0,0,0,0,10.37
1079,Garamendi,Representative,24-Jun-11,House,Libya,1,D,1079,Garamendi,6,24,11,191,23.88,26.18,78.53,49.74,9.95,4.71,0.52,4.19,0,0,0,5.24,10.99,9.42,6.81,1.05,6.28,1.57,2.62,10.99,6.81,0,1.05,1.57,0,6.81,0,0,1.57,3.66,1.57,2.09,0,2.09,0,21.47,3.66,2.62,2.09,2.62,2.09,2.09,9.42,1.57,0.52,0,0.52,0,0,0,0,0,0,15.71,2.09,7.33,4.71,0,6.28,0.52,1.05,0,0,1.57,0,0,0,4.71,9.42,0,0.52,0,0,0,0,3.14,0,0,17.8
1071,Garrett ,Representative,24-Jun-11,House,Libya,0,R,1071,Garrett,6,24,11,158,22.57,34.81,68.99,45.57,6.96,2.53,1.9,0.63,0,0,0,4.43,10.13,8.86,5.06,2.53,3.8,1.9,3.8,12.66,6.96,0.63,1.27,0.63,0,2.53,0.63,0,0.63,5.7,2.53,3.16,0,2.53,0,12.66,1.9,1.27,1.9,1.27,1.27,1.27,3.8,1.27,1.27,0,1.27,0,0.63,0,0.63,0,0,10.13,0,5.7,4.43,2.53,6.33,0,0,0.63,0,1.9,0,0,0,6.33,4.43,0,0,0,0,1.27,0,0,0,0,12.03
1054,Gibson,Representative,24-Jun-11,House,Libya,0,R,1054,Gibson,6,24,11,306,23.54,28.43,72.22,42.16,9.15,5.23,2.61,2.61,0,0,0,3.92,6.21,7.19,4.25,0.33,4.25,1.96,1.96,14.05,4.25,1.96,1.31,1.31,0,3.92,0,0.33,0.65,7.52,3.59,3.92,0,3.92,0,16.67,1.96,2.29,2.94,1.63,1.31,1.96,4.58,2.29,0.98,0.33,0.33,0,0,0,0,0,0,14.38,3.27,7.19,4.58,1.96,4.58,1.63,0,1.31,0,1.63,0,0,0.33,5.23,4.9,0.65,0.98,0,0,0,0,1.63,0,0,13.4
1064,Gohmert,Representative,24-Jun-11,House,Libya,0,R,1064,Gohmert,6,24,11,283,17.69,21.91,79.86,55.48,14.49,7.77,2.83,3.18,0,0.35,1.41,6.71,7.07,15.19,9.54,1.06,12.72,1.06,4.59,10.95,8.83,2.83,2.12,0,0,10.95,0,0,2.12,3.89,2.12,1.77,0.35,0.35,0,16.25,1.06,0.71,1.77,1.06,1.41,0.71,7.07,3.18,2.47,0,1.77,0,0.71,0.71,0,0,0,13.07,5.3,4.95,3.89,1.77,2.12,0.35,0,0.35,0,0,0,0.35,0.71,6.36,7.77,0,0.35,0,0,0,0,3.18,0,0,17.67
