ID NO,Name,Title,Date,Venue,Region,Oppose/Support,,Party Affiliation,ID,Name,Month,Day,Year,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
450,Warner,Senator,20-Oct-98,Senate,Kosovo,1,S.Con.Res. 21,Republican,450,Warner,10,20,98,1,1193,21.3,30.26,75.86,50.63,10.65,4.95,3.02,1.26,0,0,0.67,5.7,7.96,11.23,7.54,1.76,7.88,0.75,3.77,13.33,5.45,0.92,2.26,1.01,0,5.53,0,0,1.01,6.12,3.69,2.43,0.25,0.92,1.09,16.6,1.51,1.51,0.92,2.18,1.51,1.26,5.62,1.93,1.42,0.75,0.59,0.08,0.75,0.25,0.25,0,0.25,11.82,2.18,6.37,3.19,3.1,2.43,0.17,0.08,0,0.34,0.17,0.08,0.17,0.08,5.03,7.54,0.08,0.17,0,0,0.42,0,0.34,0,0,13.58
446,Warner,Senator,20-Jan-99,Senate,Kosovo,1,S.Con.Res. 21,Republican,446,Warner,1,20,99,1,584,23.36,29.11,75,49.32,10.1,4.45,2.74,1.37,0,0,0.34,5.65,7.53,9.76,6.68,1.88,4.97,0.68,4.11,13.7,6.16,0.68,2.4,0.86,0,4.97,0,0,1.54,2.23,1.03,1.2,0.34,0.34,0,16.27,1.03,2.91,1.54,1.37,1.71,1.54,4.79,1.88,0.68,0.17,0.51,0,0.17,0,0,0,0.17,16.1,1.54,9.42,4.97,2.57,2.74,0.17,0.17,0.86,0.17,0,0,0,0,5.31,9.76,0,0.17,0,0,0.17,0,1.03,0,0,16.44
201,Roberts,Senator,23-Feb-99,Senate,Kosovo,0,S.Con.Res. 21,Republican,201,Roberts,2,23,0,1,1363,16.62,24.8,76.6,51.58,11.59,6.46,2.57,2.79,0.29,0.44,0.37,5.14,8.73,12.47,7.56,1.76,7.92,0.81,3.89,12.91,6.02,1.1,2.13,0.37,0,9.17,0.07,0.37,0.81,4.33,3.08,1.25,0.29,0.81,0.07,17.02,1.83,1.54,1.69,2.13,1.61,1.03,6.16,2.2,1.47,0.15,1.03,0.29,1.17,0.22,0.44,0.44,0.07,11.59,1.1,6.16,4.11,3.23,1.25,0.44,0.15,0.81,0.07,0.07,0,0,0,6.9,6.53,0.51,0,0.73,0,0.15,0,3.15,0.07,0.15,18.27
202,Snowe,Senator,23-Feb-99,Senate,Kosovo,1,S.Con.Res. 21,Republican,202,Snowe,2,23,99,1,879,25.85,39.48,66.78,35.72,6.14,3.19,0.68,2.05,0,0.11,0.34,2.96,8.08,6.14,1.82,1.14,2.16,0.23,1.25,12.97,4.78,0.34,2.5,0.8,0,5.92,0,0,1.37,5.69,3.64,2.05,0.57,0.91,0.46,11.83,1.14,1.71,0.46,1.02,1.93,0.68,4.21,0.8,0,0,0,0,0.11,0,0,0,0.11,11.38,1.59,5.23,4.21,7.51,2.96,0.34,0,3.3,0.11,0,0,0.11,0,5.92,5.12,0.23,0,0,0,0.8,0,3.87,0,0.23,16.15
440,Specter,Senator,23-Feb-99,Senate,Kosovo,1,S.Con.Res. 21,Republican,440,Specter,2,23,99,1,523,15.85,26.39,75.33,51.43,9.75,5.35,4.4,0.96,0,0,0,4.4,11.66,12.62,7.84,3.06,7.65,0.57,3.06,15.11,2.68,1.15,2.29,0,0,5.16,0,0.57,0.76,2.49,1.72,0.76,0,0.57,0,12.62,3.06,2.49,0.38,1.72,0.38,0.19,2.29,1.91,1.15,0.57,0.19,0.19,0.76,0,0.19,0.57,0,11.66,1.34,6.5,3.82,1.91,2.68,0,0,0.19,0,0.57,0,0,0.19,6.69,6.12,0.19,0,0,0,0.57,0,0.19,0,0,13.77
441,Warner,Senator,23-Feb-99,Senate,Kosovo,1,S.Con.Res. 21,Republican,441,Warner,2,23,99,1,625,18.94,25.92,74.56,51.2,11.2,7.2,3.84,1.76,0.48,0.48,0.64,4,9.12,12.8,8,3.84,6.88,0.8,2.4,12.96,5.12,0.64,1.6,1.12,0,6.88,0,0.48,1.12,4,2.56,1.44,0,1.28,0,13.6,1.76,2.4,1.28,1.76,0.64,0.64,4.64,1.6,1.12,0.48,0.48,0.16,0,0,0,0,0,15.52,1.76,8.48,5.12,3.36,2.56,0,0.16,0.16,0,0.48,0,0.32,0.16,5.44,8,0,0.16,0.16,0,0.16,0,0.32,0,0,14.24
390,Nickles,Senator,25-Feb-99,Senate,Kosovo,0,S.Con.Res. 21,Republican,390,Nickles,2,25,99,1,545,11.35,21.28,79.27,56.33,14.5,10.83,5.32,2.39,0,1.47,1.65,3.67,6.24,17.8,11.19,2.2,11.74,0.92,5.5,12.11,4.95,2.02,1.65,1.28,0,9.72,0,0,1.28,2.2,1.1,0.37,0.18,0,0,14.31,2.02,0.92,1.83,2.75,0.92,0,4.22,3.67,1.1,0.18,0.92,0,0,0,0,0,0,12.29,1.1,5.87,5.14,2.57,2.02,0,0,1.65,0,0,0.18,0,0,9.36,4.59,0,0,0,0,0,0,1.28,0,0.55,15.78
53,Bennett,Senator,19-Mar-99,Senate,Kosovo,0,S.Con.Res. 21,Republican,53,Bennett,3,19,99,1,1686,21.62,28.71,76.28,51.13,13.29,7.77,2.02,2.49,0.42,2.25,0.59,5.52,9.37,11.33,7.53,3.2,6.23,1.01,1.96,13.29,3.2,1.9,1.42,0.77,0,9.61,0,0.12,0.53,5.4,2.14,3.2,0.53,2.43,0.12,13.82,1.72,1.84,1.07,1.3,1.25,0.77,4.69,2.25,1.6,0.3,0.89,0.36,0.65,0.36,0,0,0.3,11.21,3.14,5.16,2.55,4.21,3.26,0.42,0.36,0,0.06,1.72,0.06,0,0,4.8,5.63,0.06,0.12,0.24,0,0.06,0,2.14,0,0,13.05
222,Gorton,Senator,19-Mar-99,Senate,Kosovo,0,S.Con.Res. 21,Republican,222,Gorton,3,19,99,1,667,25.65,28.79,73.31,48.28,9.45,4.95,1.35,2.7,0.3,0,0.6,4.5,7.8,9.6,6.6,1.05,5.4,1.5,2.7,13.19,5.55,1.8,2.4,0.45,0,7.05,0,0,1.65,4.65,2.85,1.8,0,1.65,0,17.69,1.8,2.55,1.8,1.95,1.65,0.9,6.3,2.55,0.75,0.3,0.45,0,0.15,0.15,0,0,0,13.34,1.05,8.55,2.85,2.85,3,0.15,0.3,0.75,0.15,1.2,0,0,0,4.35,5.7,0.3,1.35,0,0,0.3,0,0.6,0,0,12.59
228,Gregg,Senator,19-Mar-99,Senate,Kosovo,0,S.Con.Res. 21,Republican,228,Gregg,3,19,99,1,2197,19.1,26.4,78.83,53.21,12.02,5.23,1.68,2.46,0.09,0.09,0.91,6.78,7.28,13.2,8.92,2.28,8.74,0.86,4.28,13.02,5.83,1.73,1.87,0.82,0,6.65,0.23,0,0.91,3.91,1.46,2.41,0.41,1.27,0.23,18.3,3.05,3.46,1.37,2.87,1.46,0.5,4.69,2.82,0.36,0.14,0.18,0.05,0.36,0.23,0.14,0,0,13.11,2.18,7.28,3.32,1.91,2.32,0.09,0.05,0.5,0.18,0.68,0,0.05,0.09,4.46,6.6,0.23,0.09,1.05,0,0.18,0,0.59,0,0,13.2
